label,categories_str,sources_str,certainty,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,word_noun_spacy?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,filter,conc,fam,aoa,word_id,lemma_id
neg,mammal,wn_hypernym,not_certain,0.0889431922,3,False,-,entire,entire,203897,True,True,False,4,0,5,None,,poly,non-met,conc,False,,531,,8219c186-a88f-11e9-80df-acde48001122,ac64e09a-ce46-11e9-8a6e-acde48001122
pos,fish,wn_hypernym,not_certain,0.091390042,1,True,-,permit,permit,30797,True,True,True,3,5,6,0.07407407407407407,0.3018157405412307,homonyms_only_different_pos,met non-met,abs-conc,True,399,516,458,8219c1de-a88f-11e9-8793-acde48001122,ac6e6b60-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.0951722552,-,True,-,grade,grade,132453,True,True,True,7,11,13,0.07142857142857142,0.2531106209681163,homonyms_only_different_pos,non-met,abs-conc,True,338,533,417,8219c224-a88f-11e9-8e5b-acde48001122,ac665902-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.0987806161,-,True,-,world,world,1622378,True,True,True,4,8,9,0.1,0.29886228936427967,poly,met non-met,abs-conc-n,True,532,607,,8219c268-a88f-11e9-a4a1-acde48001122,ac741cb8-ce46-11e9-8a6e-acde48001122
pos,fish,wn_hypernym,not_certain,0.1056267339,-,True,-,sole,sole,49559,True,True,False,3,0,7,0.18181818181818182,0.21734006734006736,homonyms_also_same_pos,,conc,False,484,473,,8219c2b0-a88f-11e9-8dc8-acde48001122,ac717814-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1142390136,-,True,-,das,das,20875,True,True,False,0,0,2,0.5,0.5,,,conc,False,,,,8219c2f6-a88f-11e9-9d69-acde48001122,82187aae-a88f-11e9-8c2f-acde48001122
pos,fish,wn_hypernym,not_certain,0.1160140394,-,True,-,sweeper,sweeper,1323,True,True,True,2,0,3,0.34782608695652173,0.42295957284515634,poly,met,conc,True,,,,8219c334-a88f-11e9-bcca-acde48001122,ac7237ae-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1169461403,-,True,-,pacesetter,pacesetter,210,True,True,True,1,0,2,0.07692307692307693,0.07692307692307693,mon,,abs-conc,True,,,,8219c378-a88f-11e9-ad34-acde48001122,ac6e06ca-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1171591181,-,True,-,dobbin,dobbin,473,True,True,True,0,0,1,1.0,1.0,mon,,conc,True,,,,8219c3be-a88f-11e9-a65a-acde48001122,ac640d14-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1175627705,-,True,-,ai,ai,17112,True,True,False,1,0,4,0.08333333333333333,0.1356565700269429,,non-met,abs-conc,False,,,,8219c406-a88f-11e9-be18-acde48001122,ac6021ae-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1199446906,-,True,-,royal,royal,444016,True,True,False,3,0,7,0.34782608695652173,0.34782608695652173,homonyms_only_different_pos,non-met,conc,False,,,,8219c44a-a88f-11e9-9d89-acde48001122,ac705376-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1204877913,-,True,-,humankind,humankind,2343,True,True,True,0,0,1,0.9333333333333333,0.9333333333333333,mon,,abs,True,426,351,514,8219c56c-a88f-11e9-840b-acde48001122,ac67308e-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1204951332,-,True,-,gib,gib,484,True,True,True,0,0,2,0.1111111111111111,0.1111111111111111,,,abs-conc,True,,,,8219c5ba-a88f-11e9-8472-acde48001122,82187ae8-a88f-11e9-805d-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1216174725,-,True,-,poster,poster,13080,True,True,True,2,0,3,0.09523809523809523,0.2523520923520923,mon,non-met,abs-conc,True,592,545,,8219c602-a88f-11e9-9adf-acde48001122,ac6eed4c-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1217712795,-,True,-,humanity,humanity,26377,True,True,True,2,0,3,0.4,0.523905723905724,poly,,abs,True,381,526,,8219c648-a88f-11e9-914f-acde48001122,ac673052-ce46-11e9-8a6e-acde48001122
pos,fish,wn_hypernym,not_certain,0.1257900705,-,True,-,hausen,hausen,519,True,True,False,0,0,1,1.0,1.0,,,conc,False,,,,8219c68c-a88f-11e9-bd73-acde48001122,8219375a-a88f-11e9-9839-acde48001122
pos,fish,wn_hypernym,not_certain,0.1262393123,-,True,-,brit,brit,4366,True,True,False,2,0,3,0.5454545454545454,0.5939393939393939,,,conc,False,,,,8219c6ca-a88f-11e9-8280-acde48001122,8219acd0-a88f-11e9-8f37-acde48001122
pos,bird,wn_hypernym,not_certain,0.1301175206,-,True,-,frier,frier,117,True,True,True,0,0,1,1.0,1.0,mon,,conc,True,,,,8219c710-a88f-11e9-9352-acde48001122,ac65d270-ce46-11e9-8a6e-acde48001122
pos,bird,wn_hypernym,not_certain,0.1307365228,-,True,-,pen,pen,27842,True,True,True,4,0,6,0.3333333333333333,0.5124242424242424,homonyms_also_same_pos,non-met,conc,True,571,554,,8219c758-a88f-11e9-99d7-acde48001122,ac6e53fa-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1308348693,-,True,-,unai,unai,238,True,True,False,0,0,2,0.9285714285714286,0.9285714285714286,,,conc,False,,,,8219c792-a88f-11e9-b24b-acde48001122,8218ed74-a88f-11e9-a7ba-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1324568311,-,True,-,mount,mount,138867,True,True,False,6,14,13,0.07692307692307693,0.2521646754854454,homonyms_also_same_pos,met non-met,abs-conc,False,,,,8219c7cc-a88f-11e9-9bc6-acde48001122,ac6d24b2-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1341657775,-,True,-,bellwether,bellwether,560,True,True,True,1,0,2,0.4444444444444444,0.4444444444444444,,,conc,True,,,,8219c81e-a88f-11e9-a09a-acde48001122,82192c9c-a88f-11e9-916d-acde48001122
pos,bird,wn_hypernym,not_certain,0.1342025179,-,True,-,ern,ern,1499,True,True,False,0,0,1,1.0,1.0,,,conc,False,,,,8219c85a-a88f-11e9-bf0a-acde48001122,82193886-a88f-11e9-b1b3-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1345822234,-,True,-,pollard,pollard,5167,True,True,True,2,0,3,0.46153846153846156,0.46153846153846156,homonyms_only_different_pos,,conc,True,,,,8219c89e-a88f-11e9-af4a-acde48001122,ac6ed42e-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.135646113,-,True,-,watchdog,watchdog,2686,True,True,True,1,0,2,0.5714285714285714,0.5714285714285714,poly,,conc,True,,,,8219c8e6-a88f-11e9-93e5-acde48001122,ac73c4a2-ce46-11e9-8a6e-acde48001122
neg,mammal,wn_hypernym,not_certain,0.1369978664,-,True,-,hack,hack,4947,True,True,True,6,7,16,0.2,0.36702274841980215,homonyms_also_same_pos,met,conc,True,,,,8219c92c-a88f-11e9-92f5-acde48001122,ac668f9e-ce46-11e9-8a6e-acde48001122
