label,categories_str,sources_str,certainty,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,word_noun_spacy?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,filter,conc,fam,aoa,word_id,lemma_id
neg,is_black,veale_simile,not_certain,0.101417697,3,False,-0,crypt,crypt,7106,True,True,True,0,0,1,0.8181818182,0.8181818182,mon,,conc,False,573,320,539,81f0d4c2-a88f-11e9-8d80-acde48001122,ac633e34-ce46-11e9-8a6e-acde48001122
neg,blue,conceptnet,not_certain,0.113797325,3,False,-0,world,world,1622378,True,True,True,4,8,9,0.1,0.2988622894,poly,met non-met,abs-conc-n,False,532,607,,81f0d4f4-a88f-11e9-a31c-acde48001122,ac741cb8-ce46-11e9-8a6e-acde48001122
neg,is_black,cslb,not_certain,0.1196791047,3,False,-0,recorder,recorder,11384,True,True,True,3,0,4,0.3636363636,0.5185383309,poly,non-met,conc,False,,,,81f0d530-a88f-11e9-ac9f-acde48001122,ac6fc6b8-ce46-11e9-8a6e-acde48001122
neg,is_black,cslb,not_certain,0.1246974226,2,True,-0,football,football,719207,True,True,True,1,0,2,0.1,0.1,poly,non-met,abs-conc,True,584,565,233,81f0d562-a88f-11e9-b3fa-acde48001122,ac65a156-ce46-11e9-8a6e-acde48001122
neg,is_black,cslb,not_certain,0.1301107225,2,True,-0,newspaper,newspaper,157687,True,True,True,1,5,4,0.1,0.2484749455,poly,non-met,abs-conc,True,576,641,292,81f0d580-a88f-11e9-864a-acde48001122,ac6d6c88-ce46-11e9-8a6e-acde48001122
neg,is_blue,mcrae,not_certain,0.1368202334,3,True,neg-is_blue-all,bluejay,bluejay,102,False,False,True,0,0,0,None,,,,-0,False,,,,81f0d5da-a88f-11e9-9add-acde48001122,81f0a65a-a88f-11e9-80d6-acde48001122
neg,is_black,cslb,not_certain,0.1372794717,-0,True,-0,tyre,tyre,7024,True,True,True,1,0,2,0.3529411765,0.3529411765,poly,non-met,conc-n,True,,,,81f0d602-a88f-11e9-b0e0-acde48001122,ac732236-ce46-11e9-8a6e-acde48001122
neg,blue,conceptnet,not_certain,0.1440131638,-0,True,-0,ring,ring,116797,True,True,True,9,16,15,0.125,0.2695056001,homonyms_also_same_pos,met non-met,abs-conc,True,593,589,208,81f0d628-a88f-11e9-9ace-acde48001122,ac702cf2-ce46-11e9-8a6e-acde48001122
neg,is_black,cslb,not_certain,0.147912673,-0,True,-0,suit,suit,53572,True,True,True,6,11,10,0.1111111111,0.2847771272,homonyms_only_different_pos,met non-met,abs-conc,True,545,543,,81f0d65c-a88f-11e9-9ddc-acde48001122,ac721382-ce46-11e9-8a6e-acde48001122
neg,is_red,veale_simile,not_certain,0.153137723,-0,True,-0,indian,indian,332847,True,True,False,0,0,5,0.1538461538,0.3173639226,,non-met,abs-conc,False,622,546,,81f0d68c-a88f-11e9-9611-acde48001122,ac67852a-ce46-11e9-8a6e-acde48001122
