property,lemma,decision,
used_in_cooking,sparrow,include,
used_in_cooking,canary,include,
used_in_cooking,violin,include,
used_in_cooking,hammer,include,
used_in_cooking,shovel,include,
used_in_cooking,jack,include,
used_in_cooking,plier,include,
used_in_cooking,blade,include,
used_in_cooking,trowel,include,
used_in_cooking,rake,include,
used_in_cooking,chainsaw,include,
used_in_cooking,ripsaw,include,
used_in_cooking,auger,include,
used_in_cooking,pestle,include,
used_in_cooking,screwdriver,include,
used_in_cooking,stamper,include,
used_in_cooking,bit,include,
used_in_cooking,drill,include,
used_in_cooking,style,include,
used_in_cooking,tap,include,
used_in_cooking,opener,include,
used_in_cooking,jigsaw,include,
used_in_cooking,pincer,include,
used_in_cooking,hacksaw,include,
used_in_cooking,toothpick,include,
used_in_cooking,spade,include,
used_in_cooking,pounder,include,
used_in_cooking,gimlet,include,
used_in_cooking,hack,include,
used_in_cooking,gutter,include,
used_in_cooking,scraper,include,
used_in_cooking,tool,exclude,too generic
used_in_cooking,gavel,include,
used_in_cooking,file,include,
used_in_cooking,pallet,include,
used_in_cooking,planer,include,
used_in_cooking,rasp,include,
used_in_cooking,comb,include,
used_in_cooking,slice,include,
used_in_cooking,sawmill,include,
used_in_cooking,mallet,include,
used_in_cooking,scoop,include,
used_in_cooking,starter,exclude,"odd: is something that can be cooked, could lead to confusion"
used_in_cooking,clincher,include,
used_in_cooking,burr,include,
used_in_cooking,borer,include,
used_in_cooking,reamer,include,
used_in_cooking,corkscrew,include,
used_in_cooking,stamp,include,
used_in_cooking,grappler,include,
used_in_cooking,hayfork,include,
used_in_cooking,mower,include,
used_in_cooking,bevel,include,
used_in_cooking,spanner,include,
used_in_cooking,beetle,include,
used_in_cooking,polisher,include,
used_in_cooking,wrench,exclude,"can be annotated, but is odd and does not seem to be needed for testing hypotheses"
used_in_cooking,pitchfork,include,
used_in_cooking,gang,exclude,odd (but maybe leave in)
used_in_cooking,stylus,include,
used_in_cooking,router,include,
used_in_cooking,chicken,include,
used_in_cooking,shrimp,include,
used_in_cooking,bass,include,
used_in_cooking,chisel,include,
used_in_cooking,lancet,include,
used_in_cooking,broccoli,include,
used_in_cooking,cauliflower,include,
used_in_cooking,lime,include,
used_in_cooking,pickaxe,include,
used_in_cooking,pimento,include,
used_in_cooking,barong,not annotated,
used_in_cooking,carrot,include,
used_in_cooking,microwave,include,
used_in_cooking,shear,include,shears?
used_in_cooking,adze,include,
used_in_cooking,blender,include,
used_in_cooking,mussel,include,
used_in_cooking,scalpel,include,
used_in_cooking,cleaver,include,
used_in_cooking,fork,include,
used_in_cooking,sickle,include,
used_in_cooking,hatchet,include,
used_in_cooking,oven,include,
