collection	prop_pos	concept_pos	prop_neg	concept_neg
perceptual	hot	anger	hot	fire
perceptual	cold	person	heavy	stone
perceptual	dark	story	liquid	argument
perceptual_scale	hot	anger	hot	fire
perceptual_scale	cold	person	heavy	stone
perceptual_scale	dark	story	liquid	argument
parts	voice	book	head	person
parts	gold	idea	made_of_gold	necklace
parts	exit	situation	nose	argument
complex	dying	computer	dying	pet
complex	alive	idea	alive	dog
complex	toxic	thought	toxic	substance
activities	grow	idea	grow	plant
activities	glow	person	smile	situation
activities	burn	thought	burn	candle
complex_scale	hot	anger	hot	fire
complex_scale	cold	person	heavy	stone
complex_scale	dark	story	liquid	argument
