collection	prop_pos	concept_pos	prop_neg	concept_neg
perceptual	pink	chocolate	brown	chocolate
perceptual	green	dog	sharp	razor
perceptual	blue	pony	brown	beer
perceptual_scale	melting	clock	melting	ice cream
perceptual_scale	furry	table	furry	cat
perceptual_scale	blue	pony	sharp	razor
parts	metal	dress	metal	nail
parts	paper	knife	plastic	magnet
parts	face	apple	metal	magnet
complex	pink	chocolate	white	chocolate
complex	blue	pony	sharp	razor
complex	green	beer	brown	beer
activities	speak	dog	bark	dog
activities	walk	hot dog	run	cat
activities	cook	rat	teach	teacher
complex_scale	pink	chocolate	white	chocolate
complex_scale	furry	table	sharp	razor
complex_scale	blue	pony	brown	beer
