collection	prop_pos	concept_pos	prop_neg	concept_neg
perceptual	white	t-shirt	green	pepper
perceptual	white	dress	green	apple
perceptual	purple	flower	orange	carrot
perceptual_scale	sharp	knife	solid	substance
perceptual_scale	salty	soup	salty	strawberry
perceptual_scale	bitter	chocolate	soft	diamond
parts	made_of_cotton	fabric	metal	knife
parts	made_of_wool	dress	blade	razor
parts	made_of_wood	toy	paper	book
complex	white	t-shirt	green	pepper
complex	white	dress	green	apple
complex	purple	flower	orange	carrot
activities				
activities				
activities				
complex_scale	sharp	knife	solid	substance
complex_scale	salty	soup	salty	strawberry
complex_scale	bitter	chocolate	soft	diamond
