b87de0ca-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) syrup does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-syrup,https://app.prolific.co/submissions/complete?cc=4558A3AB
b844335c-651d-11ea-824c-acde48001122,"I think (a/an) sapodilla can be round, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-sapodilla,https://app.prolific.co/submissions/complete?cc=4558A3AB
b8441f2a-651d-11ea-824c-acde48001122,``Sapodilla'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-sapodilla,https://app.prolific.co/submissions/complete?cc=4558A3AB
b8442402-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``sapodilla''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-sapodilla,https://app.prolific.co/submissions/complete?cc=4558A3AB
be5fdca0-651d-11ea-824c-acde48001122,"Usually, (a/an) shovel cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) shovel can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-shovel,https://app.prolific.co/submissions/complete?cc=4558A3AB
b668fd24-651d-11ea-824c-acde48001122,You can find (a/an) tiger which is red. Red is one of many possible colors (a/an) tiger can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-tiger,https://app.prolific.co/submissions/complete?cc=4558A3AB
b87dec00-651d-11ea-824c-acde48001122,"Usually, (a/an) syrup is not round, but there could be a highly unusual situation in which (a/an) syrup is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-syrup,https://app.prolific.co/submissions/complete?cc=4558A3AB
b87defd4-651d-11ea-824c-acde48001122,"I could say (a/an) syrup is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-syrup,https://app.prolific.co/submissions/complete?cc=4558A3AB
b87de62e-651d-11ea-824c-acde48001122,You can find (a/an) syrup which is round. Round is one of a few possible shapes (a/an) syrup can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-syrup,https://app.prolific.co/submissions/complete?cc=4558A3AB
be4d8532-651d-11ea-824c-acde48001122,"Usually, (a/an) wagon cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) wagon can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-wagon,https://app.prolific.co/submissions/complete?cc=4558A3AB
b87dde36-651d-11ea-824c-acde48001122,``Syrup'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-syrup,https://app.prolific.co/submissions/complete?cc=4558A3AB
b885a90e-651d-11ea-824c-acde48001122,"I think (a/an) enchiladas can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-round-enchiladas,https://app.prolific.co/submissions/complete?cc=4558A3AB
b68d48f0-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) hazelnut does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-hazelnut,https://app.prolific.co/submissions/complete?cc=4558A3AB
b844281c-651d-11ea-824c-acde48001122,You can find (a/an) sapodilla which is round. Round is one of a few possible shapes (a/an) sapodilla can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-sapodilla,https://app.prolific.co/submissions/complete?cc=4558A3AB
b68d4a08-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``hazelnut''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-hazelnut,https://app.prolific.co/submissions/complete?cc=4558A3AB
b885a396-651d-11ea-824c-acde48001122,You can find (a/an) enchiladas which is round. Round is one of many possible shapes (a/an) enchiladas can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-enchiladas,https://app.prolific.co/submissions/complete?cc=4558A3AB
b83b0e44-651d-11ea-824c-acde48001122,I know that (a/an) cabbage is round as most or all other things similar to (a/an) cabbage are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-round-cabbage,https://app.prolific.co/submissions/complete?cc=4558A3AB
b83b1042-651d-11ea-824c-acde48001122,You can find (a/an) cabbage which is round. Round is one of a few possible shapes (a/an) cabbage can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-cabbage,https://app.prolific.co/submissions/complete?cc=4558A3AB
b885ad0a-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) enchiladas to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-round-enchiladas,https://app.prolific.co/submissions/complete?cc=4558A3AB
b68d5070-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) hazelnut to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-hazelnut,https://app.prolific.co/submissions/complete?cc=4558A3AB
b669006c-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) tiger to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-tiger,https://app.prolific.co/submissions/complete?cc=4558A3AB
b83b0c32-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``cabbage''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-cabbage,https://app.prolific.co/submissions/complete?cc=4558A3AB
b68d4d50-651d-11ea-824c-acde48001122,You can find (a/an) hazelnut which is red. Red is one of many possible colors (a/an) hazelnut can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-hazelnut,https://app.prolific.co/submissions/complete?cc=4558A3AB
