c37f7bc0-4623-4138-bbfb-5a1aa55354a0,"I think (a/an) recorder can be red, but this is rare or uncommon","I think (a/an) rose can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,rare-red-recorder
5fc747c2-fb6f-413b-987d-c36a04471e23,``Recorder'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_property-red-recorder
c5b400b2-5764-45ae-b326-7654b4d8d340,You can find (a/an) recorder which is red. Red is one of many possible colors (a/an) recorder can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_open-red-recorder
d21cba7a-4ab3-48ac-ab45-84d3fc81f4fa,I know that (a/an) recorder is red as most or all other things similar to (a/an) recorder are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,implied_category-red-recorder
a9ea4f79-7b9e-48bf-a9fa-5bb5c339159b,I know that being red is necessary for many things (a/an) recorder does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,affording_activity-red-recorder
d9fd7bc2-d871-4660-8b1b-5200e0f91f70,You can find (a/an) recorder which is red. Red is one of a few possible colors (a/an) recorder can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_limited-red-recorder
b14699f0-587c-4520-ac8b-0bb7ac98ed15,"I could say ``(a/an) recorder is red"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,creative-red-recorder
d3caa9b4-629d-4d25-8029-add4e6a85e69,I think it is impossible for (a/an) recorder to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,impossible-red-recorder
837aca82-eae6-4a0e-8211-cfbb2159d587,"Usually, (a/an) recorder is not red, but there could be a highly unusual situation in which (a/an) recorder is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,unusual-red-recorder
6d38236d-7cb5-4181-a71f-f925cfd88e2c,``Red'' is one for the first things which come to mind when I hear ``recorder''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_concept-red-recorder
50f92992-2100-421e-abc3-fc4857affd0a,"Usually, (a/an) skateboard cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) skateboard can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,unusual-roll-skateboard
106d8bd0-1210-4578-94ea-3e2a9c08966f,You can find (a/an) skateboard which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,afforded_unusual-roll-skateboard
